1#0101	本类似群各部分之间商品不类似；

2#0101	氨，无水氨与0102第（二）部分工业用挥发碱（氨水），工业用氨水（挥发性碱）类似，与第九版及以前版本工业用挥发碱（氨），工业用氨（挥发性碱），工业用挥发性碱（氨水）交叉检索。

3#0101	碱土金属与0601镁类似。

4#0102	本类似群各部分之间商品不类似；每部分内的商品根据功能、用途确定类似商品。

5#0102	工业用挥发碱（氨水），工业用氨水（挥发性碱）与0101氨，无水氨，0109商品类似。

6#0102	工业用二氧化钛与0202二氧化钛（颜料）类似。

7#0102	氯化铵，硝酸钾，硝酸铵与 0109 商品类似

8#0102	尖晶石（氧化物矿石）与0104第（四）部分搪瓷着色化学品，玻璃着色化学品类似，与第十版及以前版本搪瓷或玻璃着色化学品交叉检索；

9#0102	硫化剂与0104第（十一）部分，0108第（二）部分类。

10#0102	儿茶，单宁，单宁酸与0114商品类似。

11#0102	非药用酒石与第九版及以前版本0104第（十九）部分非医用酒石乳剂交叉检索；

12#0102	工业用藻酸盐与第九版及以前版本0104第（十九）部分非食用藻酸盐（胶化和加压剂）交叉检索。

13#0102	甲苯，工业用甲基苯，甲基苯，轻苯，混合二甲苯，二甲苯，苯，粗制苯与第十版及以前版本0401混合二甲苯，二甲苯，苯，粗制苯交叉检索。

14#0102	工业用淀粉，工业用土豆粉与0104第（十九）部分工业用面粉类似，与第十一版及以前版本0104第（十九）部分工业用土豆粉交叉检索。

15#0102	工业淀粉酶，工业用酶制剂，工业用酶与0104第（十九）部分催化剂，0106生物化学催化剂类似。

16#0102	硅胶与0104第（十七）部分商品类似。

17#0104	本类似群各部分之间商品不类似，但所有商品与工业用化学品类似，与第十版及以及以前版本工业化学品交叉检索。

18#0104	五倍子与0114商品类似。

19#0104	陶瓷釉与0205瓷釉（漆），瓷漆，釉料（漆、清漆）类似；

20#0104	搪瓷着色化学品，玻璃着色化学品与0102第(四)部分尖晶石(氧化物矿石)类似，与第十版及以前版本0102第(四)部分尖晶石(化学制剂)交叉检索。

21#0104	 防水垢剂，除水垢剂，非家用除水垢剂与第九版及以前版本0104第（十九）部分防水锈剂，除水锈剂交叉检索。

22#0104	清漆溶剂与0205油漆稀释剂，漆稀释剂，松节油（涂料稀释剂），稀料，松香水，天那水，信那水，0302去漆剂类似。

23#0104	本部分与0102第（四）部分硫化剂，0108第（二）部分类似。

24#0104	墙纸清除剂与第八版及以前版本0205墙纸清除剂交叉检索。

25#0104	化学防腐剂与0104第(二)部分除油漆和油外的混凝土防腐剂，除油漆和油外的水泥防腐剂，除油漆和油外的石建筑防腐剂，除油漆和油外的砖建筑防腐剂，除油漆和油外的砖瓦防腐剂类似，与第九版及以前版本0206防腐剂交叉检索。

26#0104	本部分与0102第（二十）部分硅胶类似。

27#0104	本部分根据商品的功能、用途确定类似商品；

28#0104	未加工醋酸纤维素与0108第（一）部分类似；

29#0104	催化剂与0102第（十七）部分工业淀粉酶，工业用酶制剂，工业用酶，0106生物化学催化剂类似；

30#0104	工业用化学品，工业化学品与0104所有商品类似；

31#0104	工业用面粉与0102第（十六）部分工业用淀粉，工业用土豆粉类似；

32#0104	制唱片用合成物与第九版及以前版本0107制唱片用混合剂交叉检索。

33#0104	本部分与0205商品类似。

34#0105	第一、二自然段与0505第一、二自然段类似；

35#0105	第一、二自然段与0109植物生长调节剂，0113水果催熟用激素类似，与第九版及以前版本0113水果催熟激素交叉检索；

36#0105	植物用微量元素制剂与0109商品类似。

37#0106	生物化学催化剂与0102第（十七）部分工业淀粉酶，工业用酶制剂，工业用酶，0104第（十九）部分催化剂类似。

38#0107	未曝光的X光感光胶片，未曝光的感光胶片，未曝光的感光电影胶片与0923商品类似；

39#0107	蛋白纸与第十版及以前版本 0102 第（十五）部分蛋白纸交叉检索

40#0108	本类似群各部分之间商品不类似；

41#0108	第（一）部分与0104第（十九）部分未加工醋酸纤维素类似；

42#0108	第（二）部分与0102第（四）部分硫化剂，0104第（十一）部分类似。

43#0109	本类似群与0105植物用微量元素制剂类似；

44#0109	本类似群与0102第（二）部分工业用挥发碱（氨水），工业用氨水（挥发性碱）类似，与第九版及以前版本0102第（二）部分工业用挥发碱（氨），工业用氨（挥发性碱），工业用挥发性碱（氨水）交叉检索；

45#0109	本类似群与 0102 第（四）部分氯化铵，硝酸钾，硝酸铵类似，与第九版及以前版本 0102 第（四）部分卤砂、氯化铵，硝酸钠交叉检索

46#0109	本类似群与第六版及以前版本3103腐殖质高效肥交叉检索；

47#0109	植物生长调节剂与0105第一、二自然段，0113水果催熟用激素，0505第一、二自然段类似，与第九版及以前版本0113水果催熟激素交叉检索。

48#0110	阻燃剂与第十版及以前版本 0104 第（三）部分阻燃剂交叉检索

49#0113	水果催熟用激素与0105第一、二自然段，0109植物生长调节剂，0505第一、二自然段类似；

50#0113	人造增甜剂（化学制剂）与3003天然增甜剂类似。

51#0113	制药工业用保存剂与第十一版及以前版本0104第（十九）部分制药工业用保存剂交叉检索。

52#0114	本类似群与0102第（五）部分儿茶，单宁，单宁酸，0104第（一）部分五倍子类似，与第九版及以前版本0104第（一）部分苦味五倍子交叉检索；

53#0114	上浆剂与第十版及以前版本0104 第（一）部分上浆料（化学制剂）交叉检索；

54#0114	制革用油，鞣革用油，皮革整理用油与0401皮革用油脂类似，与第九版及以前版本0401制革用脂交叉检索。

55#0115	本类似群与1701液态橡胶，橡胶水类似，与第九版及以前版本1701液体橡胶交叉检索；

56#0115	本类似群与1702补漏用化学合成物，聚氨酯泡沫填缝剂类似，与第九版及以前版本1702补裂缝用化学化合物交叉检索

57#0201	跨类似群保护商品：着色剂（0201，0202）。

58#0202	二氧化钛（颜料）与0102第（三）部分工业用二氧化钛类似；

59#0202	跨类似群保护商品：着色剂（0201，0202）。

60#0204	本类似群各部分之间商品不类似。

61#0205	 瓷釉(漆)，瓷漆，釉料(漆、清漆)与0104第(四)部分陶瓷釉类似，与第十版及以前版本0104第(四)部分陶瓷釉料交叉检索；

62#0205	油漆稀释剂，漆稀释剂，松节油（涂料稀释剂），稀料，松香水，天那水，信那水与0104第（十）部分清漆溶剂，0302去漆剂类似；

63#0205	防水粉（涂料）与1705防水隔热粉类似；

64#0205	虫胶与0207商品类似；

65#0205	本类似群与0104第（二十）部分，1912商品类似。

66#0206	防锈油脂，防锈油，金属防锈制剂，金属用保护制剂，防锈制剂与第九版及以前版本0104第（十九）部分防水锈剂交叉检索

67#0207	本类似群与0205虫胶近似。

68#0301	第一、二自然段与0306商品类似；

69#0301	第一、二自然段与0501医用洗浴制剂，药浴用海水，浴用泥浆类似，与第十版及以前版本0501药浴制剂，第九版及以前版本0501医用浴剂交叉检索；

70#0301	非医用沐浴盐，浴盐与0501矿泉水沐浴盐类似，与第九版及以前版本矿泉水浴盐交叉检索；

71#0301	个人清洁或祛味用下体注洗液，非医用个人私处清洗液，个人清洁或祛味用阴道洗液与0501医用下体注洗液，医用阴道清洗液类似，与第十版及以前版本0501阴道清洗液交叉检索；

72#0301	第三、四自然段与0302商品类似；

73#0301	第三、四自然段与0303皮革漂白制剂，皮革洗涤剂类似；

74#0301	漂白盐，漂白碱，洗衣用漂白剂，漂白剂（洗衣）与0503漂白粉（消毒）类似，与第 九版及以前版本0104第（一）部分漂白剂交叉检索。

75#0301	类似群保护商品：梳洗用制剂（0301，0306）；

76#0301	仁肥皂，肥皂，剃须皂，汗足皂，除臭皂，香皂，防汗皂与0501抗菌皂，消毒皂，药皂类似；

77#0301	1 本类似群商品根据功能用途与5类含药物的相应商品类似；

78#0302	本类似群与0301第三、四自然段类似；

79#0302	厕所清洗剂与0503化学盥洗室用消毒剂，厕所除臭剂类似；

80#0302	去漆剂与0104第（十）部分清漆溶剂，0205油漆稀释剂，漆稀释剂，松节油（涂料稀释剂），稀料，松香水，天那水，信那水类似；

81#0302	浸清洁剂的清洁布与第八版及以前版本2112浸清洁剂的清洁布交叉检索。

82#0303	地板蜡，拼花地板蜡，上光蜡，地板防滑蜡，地板防滑液与0404地蜡，地蜡（石蜡）类似；

83#0303	 皮革保护剂（上光），皮革膏，皮革用蜡与0401皮革保护用油脂，皮革保护油类似，与第十版及以前版本0401皮革防腐剂（油和脂），皮革保护剂（油和脂）交叉检索；；

84#0303	皮革漂白制剂，皮革洗涤剂与0301第三、四自然段类似。

85#0306	本类似群与0301第一、二自然段类似；

86#0306	化妆用棉签，化妆棉，唇膏盒与2110 商品类似；

87#0306	化妆用棉签与0506医用棉签类似；

88#0306	浸化妆水的薄纸，浸卸妆液的薄纸与0506消毒纸巾，1603卫生纸，纸手帕，卸妆用薄纸，纸餐巾，纸巾，纸制洗脸巾类似，与第十版及以前版本1603卸妆用纸巾交叉检索；

89#0306	洗澡用化妆品与0501医用洗浴制剂，药浴用海水，浴用泥浆类似，与第十版及以前版本0501药浴制剂，第九版及以前版本0501医用浴剂交叉检索；

90#0306	跨类似群保护商品：个人或动物用除臭剂（0306，0309）；梳洗用制剂（0301，0306）；

91#0306	类似群商品根据功能用途与5类含药物的相应商品类似。

92#0307	本类似群与0501含药物的牙膏类似。

93#0309	 宠物用沐浴露（不含药物的清洁制剂），动物用沐浴露（不含药物的清洁制剂）与0504牲畜用洗涤剂（杀虫剂），狗用洗涤液（杀虫剂），动物用洗涤剂（杀虫剂），动物用杀虫沐浴露，兽医用杀虫洗涤剂，含药物的宠物用沐浴露类似，与第十版及以前版本0504牲畜用洗涤剂，狗用洗涤液，狗用洗涤剂交叉检索；

94#0309	跨类似群保护商品:个人或动物用除臭剂(0306，0309)。

95#0310	本类似群与0503商品类似。

96#0401	 石油（原油或精炼油）与0402燃料，挥发性混合燃料，照明用油脂，轻石油，柴油，粗柴油，汽油，煤油，发动机燃料，燃料油，石油气类似，与第十版及以前版本0402挥发性燃料混合物，汽车燃料交叉检索；

97#0401	皮革保护用油脂，皮革保护油与0303皮革保护剂（上光），皮革膏，用蜡类似，与第十版及以前版本0303皮革防腐剂（抛光剂）交叉检索；

98#0401	皮革用油脂与0114制革用油，鞣革用油，皮革整理用油类似，与第九版及以前版本0114皮革加脂用油交叉检索；

99#0402	跨类似群保护商品：燃料（0402，0403）；

100#0402	燃料，挥发性混合燃料，照明用油脂，轻石油，柴油，粗柴油，汽油，煤油，发动机燃料，燃料油，石油气与0401石油（原油或精炼油）类似。

101#0403	跨类似群保护商品：燃料（0402，0403）。

102#0404	 地蜡，地蜡(石蜡)与0303地板蜡，拼花地板蜡，抛光蜡，地板防滑蜡，地板防滑液类似，与第十版及以前版本0303上光蜡交叉检索；

103#0404	雪板用蜡与第十版及以前版本2807滑雪板用蜡交叉检索。

104#0407	本类似群与第八版及以前版本0117交叉检索。

105#0501	 本类似群各部分之间商品不类似，但杀真菌剂，杀菌剂，灭菌剂，卫生消毒剂，消毒剂互为类似商品；

106#0501	第(一)部分第一、二自然段与0502第一自然段药制糖果，医用树胶，医用糖果及第二自然段商品类似，与第九版及以前版本0502医用胶，医用食物营养制剂，医用营养添加剂交叉检索；

107#0501	第(一)部分第一、二自然段(人用药除外)与3005商品类似；

108#0501	药茶，药用草药茶，减肥茶与第九版及以前版本3002茶叶代用品交叉检索；

